periodo,temporalidad,fuente,area,calibre_ml,sabor,volumen_cc,clientes_con_compra,stock_cc,volumen_fytd_cc,wd_pct,nd_pct,datos_anonimizados,unidad_volumen,base_indice
202509,LM,logyt,TOTAL,473,LIMON,2262.928808036572,,,,,,False,CC,
202509,LM,logyt,TOTAL,473,TOTAL_DRL,6082.872200371551,,,,,,False,CC,
202509,LM,logyt,TOTAL,473,VODKA,1333.441129385345,,,,,,False,CC,
202509,LM,logyt,TOTAL,1000,LIMON,804.2059416069307,,,,,,False,CC,
202509,LM,logyt,TOTAL,1000,RED_BERRIES,150.666666785876,,,,,,False,CC,
202509,LM,logyt,TOTAL,1000,TOTAL_DRL,2935.64546694265,,,,,,False,CC,
202509,LM,logyt,TOTAL,1000,VODKA,1150.191950121747,,,,,,False,CC,
202510,LM,logyt,TOTAL,473,LIMON,2677.515716589751,,,,,,False,CC,
202510,LM,logyt,TOTAL,473,TOTAL_DRL,7254.277299914971,,,,,,False,CC,
202510,LM,logyt,TOTAL,473,VODKA,1476.98474577348,,,,,,False,CC,
202510,LM,logyt,TOTAL,1000,LIMON,957.1646834186698,,,,,,False,CC,
202510,LM,logyt,TOTAL,1000,RED_BERRIES,178.166666763524,,,,,,False,CC,
202510,LM,logyt,TOTAL,1000,TOTAL_DRL,3094.287001392345,,,,,,False,CC,
202510,LM,logyt,TOTAL,1000,VODKA,1206.797025750078,,,,,,False,CC,
202511,LM,logyt,TOTAL,473,LIMON,2783.8844538803014,,,,,,False,CC,
202511,LM,logyt,TOTAL,473,TOTAL_DRL,7517.369995858087,,,,,,False,CC,
202511,LM,logyt,TOTAL,473,VODKA,1489.0739790495363,,,,,,False,CC,
202511,LM,logyt,TOTAL,1000,LIMON,992.0525749026168,,,,,,False,CC,
202511,LM,logyt,TOTAL,1000,RED_BERRIES,161.58333346123828,,,,,,False,CC,
202511,LM,logyt,TOTAL,1000,TOTAL_DRL,3243.248525320409,,,,,,False,CC,
202511,LM,logyt,TOTAL,1000,VODKA,1282.2131251705234,,,,,,False,CC,
202512,LM,logyt,TOTAL,473,LIMON,4772.795475200758,,,,,,False,CC,
202512,LM,logyt,TOTAL,473,TOTAL_DRL,11570.915279431509,,,,,,False,CC,
202512,LM,logyt,TOTAL,473,VODKA,2331.424487174428,,,,,,False,CC,
202512,LM,logyt,TOTAL,1000,GREEN_APPLE,8.833333333333362,,,,,,False,CC,
202512,LM,logyt,TOTAL,1000,LIMON,1662.0088994933026,,,,,,False,CC,
202512,LM,logyt,TOTAL,1000,RED_BERRIES,324.169166853652,,,,,,False,CC,
202512,LM,logyt,TOTAL,1000,TOTAL_DRL,5452.480982881968,,,,,,False,CC,
202512,LM,logyt,TOTAL,1000,VODKA,2004.6058498076104,,,,,,False,CC,
202601,LM,logyt,TOTAL,473,LIMON,3673.727996143347,,,,,,False,CC,
202601,LM,logyt,TOTAL,473,TOTAL_DRL,9051.273259176543,,,,,,False,CC,
202601,LM,logyt,TOTAL,473,VODKA,1851.5396705294604,,,,,,False,CC,
202601,LM,logyt,TOTAL,1000,GREEN_APPLE,55.83333333333367,,,,,,False,CC,
202601,LM,logyt,TOTAL,1000,LIMON,1148.5164588005366,,,,,,False,CC,
202601,LM,logyt,TOTAL,1000,RED_BERRIES,172.75000004221602,,,,,,False,CC,
202601,LM,logyt,TOTAL,1000,TOTAL_DRL,3698.439875513015,,,,,,False,CC,
202601,LM,logyt,TOTAL,1000,VODKA,1394.1544333016475,,,,,,False,CC,
202602,LM,logyt,TOTAL,473,LIMON,3086.8555794944164,,,,,,False,CC,
202602,LM,logyt,TOTAL,473,TOTAL_DRL,7359.523542635833,,,,,,False,CC,
202602,LM,logyt,TOTAL,473,VODKA,1604.9127708150374,,,,,,False,CC,
202602,LM,logyt,TOTAL,1000,GREEN_APPLE,133.22512506321095,,,,,,False,CC,
202602,LM,logyt,TOTAL,1000,LIMON,987.4933750626368,,,,,,False,CC,
202602,LM,logyt,TOTAL,1000,RED_BERRIES,176.00000004967092,,,,,,False,CC,
202602,LM,logyt,TOTAL,1000,TOTAL_DRL,3141.4815999876364,,,,,,False,CC,
202602,LM,logyt,TOTAL,1000,VODKA,1133.9257665220605,,,,,,False,CC,
202603,LM,logyt,TOTAL,473,LIMON,2666.189300265856,,,,,,False,CC,
202603,LM,logyt,TOTAL,473,TOTAL_DRL,6184.864838390364,,,,,,False,CC,
202603,LM,logyt,TOTAL,473,VODKA,1328.621758526352,,,,,,False,CC,
202603,LM,logyt,TOTAL,1000,GREEN_APPLE,150.06757498905097,,,,,,False,CC,
202603,LM,logyt,TOTAL,1000,LIMON,777.0543500333943,,,,,,False,CC,
202603,LM,logyt,TOTAL,1000,RED_BERRIES,137.333333380521,,,,,,False,CC,
202603,LM,logyt,TOTAL,1000,TOTAL_DRL,2541.4842917863243,,,,,,False,CC,
202603,LM,logyt,TOTAL,1000,VODKA,924.638733439614,,,,,,False,CC,
202604,LM,logyt,TOTAL,473,LIMON,1711.6684416217372,,,,,,False,CC,
202604,LM,logyt,TOTAL,473,TOTAL_DRL,4539.672758279918,,,,,,False,CC,
202604,LM,logyt,TOTAL,473,VODKA,1035.163162328074,,,,,,False,CC,
202604,LM,logyt,TOTAL,1000,GREEN_APPLE,100.40751675345636,,,,,,False,CC,
202604,LM,logyt,TOTAL,1000,LIMON,770.2317167646193,,,,,,False,CC,
202604,LM,logyt,TOTAL,1000,RED_BERRIES,138.4608333480223,,,,,,False,CC,
202604,LM,logyt,TOTAL,1000,TOTAL_DRL,2448.8124001282104,,,,,,False,CC,
202604,LM,logyt,TOTAL,1000,VODKA,861.7706997428663,,,,,,False,CC,
