periodo,temporalidad,fuente,area,calibre_ml,sabor,volumen_cc,clientes_con_compra,stock_cc,volumen_fytd_cc,wd_pct,nd_pct,datos_anonimizados,unidad_volumen,base_indice
202509,LM,logyt,TOTAL,473,LIMON,31.824,,,,,,True,INDICE,Total DRL 473 ml 2025-09 = 100
202509,LM,logyt,TOTAL,473,TOTAL_DRL,100.0,,,,,,True,INDICE,Total DRL 473 ml 2025-09 = 100
202509,LM,logyt,TOTAL,473,VODKA,23.9,,,,,,True,INDICE,Total DRL 473 ml 2025-09 = 100
202509,LM,logyt,TOTAL,1000,LIMON,28.335,,,,,,True,INDICE,Total DRL 1000 ml 2025-09 = 100
202509,LM,logyt,TOTAL,1000,RED_BERRIES,5.308,,,,,,True,INDICE,Total DRL 1000 ml 2025-09 = 100
202509,LM,logyt,TOTAL,1000,TOTAL_DRL,100.0,,,,,,True,INDICE,Total DRL 1000 ml 2025-09 = 100
202509,LM,logyt,TOTAL,1000,VODKA,40.525,,,,,,True,INDICE,Total DRL 1000 ml 2025-09 = 100
202510,LM,logyt,TOTAL,473,LIMON,34.184,,,,,,True,INDICE,Total DRL 473 ml 2025-09 = 100
202510,LM,logyt,TOTAL,473,TOTAL_DRL,113.933,,,,,,True,INDICE,Total DRL 473 ml 2025-09 = 100
202510,LM,logyt,TOTAL,473,VODKA,23.966,,,,,,True,INDICE,Total DRL 473 ml 2025-09 = 100
202510,LM,logyt,TOTAL,1000,LIMON,33.724,,,,,,True,INDICE,Total DRL 1000 ml 2025-09 = 100
202510,LM,logyt,TOTAL,1000,RED_BERRIES,6.277,,,,,,True,INDICE,Total DRL 1000 ml 2025-09 = 100
202510,LM,logyt,TOTAL,1000,TOTAL_DRL,107.063,,,,,,True,INDICE,Total DRL 1000 ml 2025-09 = 100
202510,LM,logyt,TOTAL,1000,VODKA,42.519,,,,,,True,INDICE,Total DRL 1000 ml 2025-09 = 100
202511,LM,logyt,TOTAL,473,LIMON,37.181,,,,,,True,INDICE,Total DRL 473 ml 2025-09 = 100
202511,LM,logyt,TOTAL,473,TOTAL_DRL,125.813,,,,,,True,INDICE,Total DRL 473 ml 2025-09 = 100
202511,LM,logyt,TOTAL,473,VODKA,25.692,,,,,,True,INDICE,Total DRL 473 ml 2025-09 = 100
